,code
0,0000000002015092200006
1,0000000002013082700001
2,0000000002010111001069
3,0000000002010111001061
4,0000000002010111601353
5,0000000002010102700097
6,0000000002015042300002
7,402885d15c8b6b49015c8b6c0d250002
8,402885d15c8c4e3b015c8c4ec281000b
9,402885d15c8c4e3b015c8c4ec0a30002
10,402885d15c8c4e3b015c8c4ec2300009
11,402885d15c8c4e3b015c8c4ec2fa000e
12,402885d15c8b6b49015c8b6c106f0014
13,402885d15c8b6b49015c8b6c10db0016
14,402885d15c8b6b49015c8b6c0ffc0011
15,402885d15c8b6b49015c8b6c10260012
16,402885d15c8b6b49015c8b6c0fcd0010
17,402885d15c8b6b49015c8b6c10ad0015
18,402885d15c8b6b49015c8b6c0e300006
19,402885d15c8b6b49015c8b6c111f0017
20,402885d15c8b6b49015c8b6c17b20032
21,402885d15c8b6b49015c8b6c14fb0023
22,402885d15c8b6b49015c8b6c14cd0022
23,402885d15c8b6b49015c8b6c170d002e
24,402885d15c8b6b49015c8b6c16aa002d
25,402885d15c8b6b49015c8b6c0d250002
26,402885d15c8b6b49015c8b6c0e0d0005
27,402885d15c8b6b49015c8b6c0dd70004
28,402885d15c8b6b49015c8b6c10ad0015
29,402885d15c8b6b49015c8b6c111f0017
30,402885d15c8b6b49015c8b6c14a50021
31,402885d15c8b6b49015c8b6c13eb001c
32,402885d15c8b6b49015c8b6c142e001e
33,402885d15c8b6b49015c8b6c14810020
34,402885d15c8b6b49015c8b6c116a0019
35,402885d15c8b6b49015c8b6c1457001f
36,402885d15c8b6b49015c8b6c0e300006
37,402885d15c8b6b49015c8b6c111f0017
38,402885d15c8b6b49015c8b6c13eb001c
39,402885d15c8b6b49015c8b6c140c001d
40,402885d15c8c4e3b015c8c4ec281000b
41,402885d15c8c4e3b015c8c4ec0a30002
42,402885d15c8c4e3b015c8c4ec2300009
43,402885d15c8c4e3b015c8c4ec2fa000e
44,402885d15c8c4e3b015c8c4ec2d3000d
45,402885d15c8c4e3b015c8c4ec4660016
46,402885d15c8c4e3b015c8c4ec3a50012
47,402885d15c8c4e3b015c8c4ec3d60013
48,402885d15c8c4e3b015c8c4ec3a50012
49,402885d15c8c4e3b015c8c4ec3d60013
50,402885d15c8c4e3b015c8c4ec3ff0014
51,402885d15c8c4e3b015c8c4ec4310015
52,402885d15c8c4e3b015c8c4ec3480010
53,0000000002015092200007
54,0000000002010111900405
55,0000000002016042000010
56,0000000002015042300014
57,0000000002010111000492
58,0000000002010111600838
59,0000000002018040900002
60,0000000002010111100595
61,0000000002010111001050
62,0000000002011042800005
63,0000000002018091000005
64,0000000002013082700002
65,0000000002010111500636
66,0000000002013111200001
67,0000000002014102200007
68,0000000002010111601340
69,0000000002010111600785
70,0000000002010111600850
71,0000000002010111600806
72,0000000002010110900073
73,0000000002010111001024
74,0000000002010111000761
75,0000000002010110400036
76,0000000002010111000761
77,0000000002010110400036
78,0000000002010111000296
79,0000000002010111100229
80,0000000002010111600785
81,0000000002010111600806
82,0000000002010111600850
83,0000000002010111100575
84,0000000002010111500237
85,0000000002010111500227
86,0000000002010111200366
87,0000000002010111000296
88,0000000002013032800003
89,0000000002013032800011
90,0000000002012072500026
91,0000000002013050300025
92,0000000002012072500010
93,0000000002015052600087
94,0000000002013111200001
95,0000000002014102200007
96,0000000002013111200001
97,0000000002014102200007
98,0000000002011072700012
99,0000000002010112800031
100,0000000002010112900267
101,0000000002010112900010
102,0000000002010111900167
103,0000000002010111900257
104,0000000002016033000026
105,0000000002015042300015
106,0000000002010110901354
107,0000000002010111600081
108,0000000002010111700705
109,0000000002010111700455
110,0000000002010111601000
111,0000000002010111600840
112,0000000002010111601000
113,0000000002010111600840
114,0000000002010111600393
115,0000000002010102700038
116,0000000002013050800006
117,0000000002010111600081
118,0000000002010111500208
119,0000000002010111500307
120,0000000002010111600081
121,0000000002010111700705
122,0000000002010111700455
123,0000000002010111600230
124,0000000002010111500253
125,0000000002010111200356
126,0000000002010111100419
127,0000000002010111100685
128,0000000002010111100685
129,0000000002016112300012
130,0000000002015052600097
131,0000000002010111800654
132,0000000002012072500069
133,0000000002013050700003
134,0000000002015052200168
135,0000000002015052600097
136,0000000002015052200168
137,0000000002015052200002
138,0000000002010112600433
139,0000000002010111900207
140,0000000002010111600393
141,0000000002010102700038
142,0000000002016033000010
143,0000000002016033000025
144,0000000002010111200314
145,0000000002010102700182
146,0000000002010102800023
147,0000000002010102800071
148,0000000002012072500062
149,0000000002013032800026
150,0000000002013050700009
151,0000000002012072400015
152,0000000002010111000260
153,0000000002010111100143
154,0000000002010111700240
155,0000000002010111600220
156,0000000002010112400176
157,0000000002010120200023
158,0000000002010120200004
159,0000000002010112700324
160,0000000002010111900268
161,0000000002010111900358
162,0000000002010111900356
163,0000000002010111900111
164,0000000002010111900111
165,0000000002011052700002
166,0000000002011061300059
167,0000000002012101100012
168,0000000002012072500062
169,0000000002013050700009
170,0000000002013032800026
171,0000000002012072400015
172,0000000002010111900356
173,0000000002010111001181
174,0000000002010111000696
175,0000000002010102800106
176,0000000002012072400015
177,0000000002011072700002
178,0000000002010112400176
179,0000000002010120200004
180,0000000002010120200023
181,0000000002010112700324
182,0000000002010112800140
183,0000000002010111900154
184,0000000002010102800071
185,0000000002010102700182
186,0000000002013121800004
187,0000000002015042300008
188,0000000002010111200312
189,0000000002010111200150
190,0000000002010111100422
191,0000000002010111100980
192,0000000002013090600005
193,0000000002012072500022
194,0000000002013032800037
195,0000000002013050300006
196,0000000002010111000858
197,0000000002010102800085
198,0000000002010111000221
199,0000000002010111100211
200,0000000002010111100104
201,0000000002010111100211
202,0000000002010111200312
203,0000000002010111100422
204,0000000002010111200150
205,0000000002010111200005
206,0000000002010111100785
207,0000000002010111100831
208,0000000002010111600851
209,0000000002010111100684
210,0000000002015091700001
211,0000000002016051700006
212,0000000002010111800598
213,0000000002011052700025
214,0000000002012032500002
215,0000000002013070200044
216,0000000002012072500022
